"ParticipantType" "SegID" "response" "SE" "df" "lower.CL" "upper.CL"
"37" "Control" "106" 9.86650564818894 0.241493523591229 54 9.39402771962964 10.3627471209529
"38" "Patient" "106" 8.01236535817966 0.395442569398103 54 7.25751245668319 8.84573040916242
"39" "Control" "107" 8.71254707926079 0.213249124730534 54 8.29532883165961 9.15074955421013
"40" "Patient" "107" 7.90006441363993 0.389900064523528 54 7.15579149571098 8.72174905837709
"41" "Control" "108" 2.27720466619314 0.0557370763658674 54 2.16815603418977 2.39173796071815
"42" "Patient" "108" 2.26074404624131 0.119218551291761 54 2.03392669609765 2.51285538088545
"43" "Control" "109" 2.48196771283166 0.0607488760239445 54 2.36311358093087 2.60679968040818
"44" "Patient" "109" 2.48581002570929 0.126549311094066 54 2.2446122995506 2.7529259663925
"45" "Control" "112" 3.18596001054303 0.0779798579558926 54 3.03339375862684 3.3461996682469
"46" "Patient" "112" 3.04677202171185 0.155105887950021 54 2.75114652683821 3.37416406640998
"47" "Control" "113" 3.36537501310943 0.0823712364945352 54 3.20421710455333 3.53463844967525
"48" "Patient" "113" 3.16787192560759 0.15634726548104 54 2.86942356389216 3.49736186157209
"49" "Control" "114" 3.8681474773808 0.0946771427891184 54 3.68291327465065 4.06269813893099
"50" "Patient" "114" 3.67936041723477 0.187318066985693 54 3.32234060718771 4.07474569302916
"51" "Control" "115" 3.79590122950596 0.0929088368064637 54 3.61412668704048 3.98681822522494
"52" "Patient" "115" 3.60278577228596 0.189944730618859 54 3.24140498184448 4.00445652230719
"53" "Control" "120" 2.45401342331045 0.0600646641948847 54 2.33649794009424 2.57743941411092
"54" "Patient" "120" 1.99841547118073 0.0986298693733274 54 1.81014276401115 2.20627039748224
"55" "Control" "121" 2.39039446517494 0.058507520570266 54 2.27592550669897 2.51062070455312
"56" "Patient" "121" 2.05564246973193 0.104653779510209 54 1.85617707334657 2.27654248295773
"57" "Control" "122" 6.8635135711574 0.167992006047171 54 6.53484009846403 7.20871786174756
"58" "Patient" "122" 6.17217290241021 0.314253336361046 54 5.57322256404005 6.83549201552631
"59" "Control" "123" 6.59757929154715 0.161482973516634 54 6.28164062913448 6.92940826738274
"60" "Patient" "123" 6.04957729540152 0.319004978064119 54 5.4426580182974 6.72417508687898
"61" "Control" "128" 5.76441788180673 0.141090436205778 54 5.4883768681733 6.05434253408927
"62" "Patient" "128" 5.71382435990846 0.290951712562543 54 5.15928903684212 6.32796274501153
"63" "Control" "129" 5.40958773838139 0.132405580121208 54 5.15053849641807 5.68166600824315
"64" "Patient" "129" 5.20352594863718 0.27425832953299 54 4.68172577696799 5.78348318292065
"65" "Control" "132" 11.1756941732884 0.273537345512057 54 10.6405230578513 11.7377820221643
"66" "Patient" "132" 10.6168451123254 0.540508859803938 54 9.58665953780368 11.757734766174
"67" "Control" "133" 11.1009115476313 0.271706958907385 54 10.569321552129 11.6592381621233
"68" "Patient" "133" 11.3120453680215 0.596302924832989 54 10.1775361623503 12.5730204606443
"69" "Control" "134" 7.25305367140377 0.177526426311336 54 6.90572626932365 7.61785010129224
"70" "Patient" "134" 6.80201834082279 0.358699063611877 54 6.1195811678668 7.56055884213688
"71" "Control" "135" 6.45642070963994 0.158027962741245 54 6.14724171643095 6.78115003489237
"72" "Patient" "135" 6.22749269293567 0.317056418402484 54 5.62319853674634 6.89672701170654
"73" "Control" "138" 4.29016092243995 0.105006383706231 54 4.08471773737549 4.5059369885021
"74" "Patient" "138" 4.20624921105033 0.207595375546428 54 3.80997429353958 4.64374062981528
"75" "Control" "139" 4.08753742204727 0.100046951784028 54 3.89179728030499 4.29312242474445
"76" "Patient" "139" 3.90015107591568 0.192488197124759 54 3.53271396785569 4.30580526851972
"77" "Control" "142" 16.6783320432221 0.408220429436578 54 15.8796557887721 17.5171781708676
"78" "Patient" "142" 14.9180945387227 0.759474017661544 54 13.4705699232889 16.5211676962167
"79" "Control" "143" 17.0835683842621 0.418139032372047 54 16.2654865536316 17.9427961024996
"80" "Patient" "143" 15.4121346180008 0.760651048822911 54 13.9601421021109 17.0151486815783
