"Variables" "Value" "Std.Error" "DF" "t.value" "p.value"
"ParticipantTypePatient:SegID68" 0.01545309618556 0.031748053490835 4680 0.486741531729528 0.626464302863606
"ParticipantTypePatient:SegID69" -0.0380659172968153 0.0328731203194283 4680 -1.15796483348488 0.246937477916973
"ParticipantTypePatient:SegID70" -0.0325019802753223 0.0317480534908351 4680 -1.02374718137302 0.306007616994582
"ParticipantTypePatient:SegID71" -0.0809671500328322 0.0328726723398144 4680 -2.46305348089292 0.0138116782726696
"ParticipantTypePatient:SegID72" -0.0281188197486675 0.0341716243499922 4680 -0.822870445392622 0.410623596286619
"ParticipantTypePatient:SegID73" -0.0731114550735492 0.0317480534908351 4680 -2.30286417700079 0.0213301405002668
"ParticipantTypePatient:SegID74" -0.0741253935574381 0.031748053490835 4680 -2.33480120533489 0.019595875592068
"ParticipantTypePatient:SegID75" -0.0523095933242773 0.0328713390143779 4680 -1.59134355011815 0.111599819754177
"ParticipantTypePatient:SegID76" 0.00878470402692047 0.0317480534908349 4680 0.276700555183846 0.782022264826072
"ParticipantTypePatient:SegID77" -0.0198962186672653 0.0317480534908349 4680 -0.626690977228226 0.530892386882257
"ParticipantTypePatient:SegID78" 0.0735575355494426 0.032873043782949 4680 2.23762472483903 0.0252924126000806
"ParticipantTypePatient:SegID79" -0.0730414343046401 0.031748053490835 4680 -2.30065866323822 0.0214546960320233
"ParticipantTypePatient:SegID80" -0.0447342952032539 0.0328709670431562 4680 -1.36090596740042 0.173608935581275
"ParticipantTypePatient:SegID81" -0.0201727147883111 0.0328725739855874 4680 -0.61366398618969 0.53946721608091
"ParticipantTypePatient:SegID82" 0.0118776593268208 0.0328707685463843 4680 0.361344131946902 0.717858517875974
"ParticipantTypePatient:SegID83" -0.00914155672394438 0.031748053490835 4680 -0.287940699311955 0.773404882138109
"ParticipantTypePatient:SegID84" -0.024752176986355 0.0328707685463845 4680 -0.753014854259545 0.451478864170232
"ParticipantTypePatient:SegID85" -0.0482553776561504 0.031748053490835 4680 -1.51994759836475 0.128591698906705
