"ParticipantType" "SegID" "emmean" "SE" "df" "lower.CL" "upper.CL"
"Patient" "191" 0.73346978421508 0.0154892770606611 55 0.702428579324742 0.764510989105418
"Control" "192" 0.726855068774756 0.00724494570486345 55 0.712335873129711 0.741374264419801
"Patient" "192" 0.733484358030171 0.0145574071596449 55 0.704310662153669 0.762658053906674
"Control" "193" 0.722809416600844 0.0072449457048635 55 0.708290220955799 0.737328612245888
"Patient" "193" 0.731034358030172 0.0145574071596449 55 0.701860662153669 0.760208053906674
"Control" "194" 0.701833329644322 0.00724494570486346 55 0.687314133999277 0.716352525289366
"Patient" "194" 0.716772771340783 0.014989659350516 55 0.6867328227161 0.746812719965466
"Control" "195" 0.688555068774756 0.00724494570486345 55 0.674035873129711 0.703074264419801
"Patient" "195" 0.703717691363505 0.014557407159645 55 0.674543995487002 0.732891387240007
"Control" "196" 0.690894199209539 0.00724494570486346 55 0.676375003564494 0.705413394854583
"Patient" "196" 0.680042691363505 0.0145574071596449 55 0.650868995487002 0.709216387240007
"Control" "197" 0.654948547035626 0.00724494570486349 55 0.640429351390581 0.66946774268067
"Patient" "197" 0.646941221326108 0.0149865201239875 55 0.616907563851973 0.676974878800243
"Control" "198" 0.693552894861713 0.00724494570486347 55 0.679033699216668 0.708072090506758
"Patient" "198" 0.691184358030172 0.0145574071596449 55 0.662010662153669 0.720358053906674
"Control" "199" 0.686811590513887 0.00724494570486348 55 0.672292394868842 0.701330786158932
"Patient" "199" 0.680637341125701 0.0149870838184323 55 0.650602553982655 0.710672128268747
"Control" "200" 0.720042025296495 0.00724494570486345 55 0.705522829651451 0.73456122094154
"Patient" "200" 0.747997141832584 0.0149864237576836 55 0.717963677480838 0.778030606184331
"Control" "201" 0.719289851383452 0.00724494570486344 55 0.704770655738407 0.733809047028496
"Patient" "201" 0.734743729410965 0.014988605311055 55 0.704705893128565 0.764781565693365
"Control" "202" 0.749094199209538 0.00724494570486342 55 0.734575003564493 0.763613394854583
"Patient" "202" 0.767609358030171 0.014557407159645 55 0.738435662153668 0.796783053906673
"Control" "203" 0.762439851383452 0.00724494570486346 55 0.747920655738407 0.776959047028496
"Patient" "203" 0.770998274865511 0.014988605311055 55 0.740960438583111 0.80103611114791
"Control" "204" 0.702357242687801 0.00724494570486343 55 0.687838047042757 0.716876438332846
"Patient" "204" 0.703392691363497 0.0145574071596449 55 0.674218995486995 0.73256638724
"Control" "205" 0.717742025296483 0.00724494570486339 55 0.703222829651438 0.732261220941527
"Patient" "205" 0.723417691363492 0.0145574071596449 55 0.69424399548699 0.752591387239995
