"Model","AIC"
"log10(LacPyr) ~ Sex",-6114.68127650426
"log10(LacPyr) ~ ParticipantType + Sex + Age + ParticipantType:Sex",-6110.63510414783
"log10(LacPyr) ~ ParticipantType + Age + ParticipantType:Age",-6109.92889827009
"log10(LacPyr) ~ Age",-6107.77031260321
"log10(LacPyr) ~ ParticipantType + Sex + Age + ParticipantType:Age",-6103.53325231617
"log10(LacPyr) ~ ParticipantType + Sex + Age + Sex:Age",-6102.40705271045
"log10(LacPyr) ~ Sex + Age",-6101.17917674679
"log10(LacPyr) ~ ParticipantType + Sex + Age + ParticipantType:Sex +      ParticipantType:Age",-6099.53967871354
"log10(LacPyr) ~ ParticipantType + Sex + Age + ParticipantType:Sex +      Sex:Age",-6098.18840712033
"log10(LacPyr) ~ ParticipantType + Sex + Age + ParticipantType:Age +      Sex:Age",-6091.00156407633
"log10(LacPyr) ~ Sex + Age + Sex:Age",-6089.39126236815
"log10(LacPyr) ~ ParticipantType + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + Sex:Age",-6087.15075350926
