"Variables" "Value" "Std.Error" "DF" "t.value" "p.value"
"132" "ParticipantTypePatient:SegID45" -0.00811093051947785 0.0281356242021658 4680 -0.288279743189543 0.773145378037199
"133" "ParticipantTypePatient:SegID46" 0.0106637955858783 0.0281356242021659 4680 0.379014004070235 0.704694658583529
"134" "ParticipantTypePatient:SegID47" -0.0619927267311818 0.029131144841432 4680 -2.1280566578699 0.033384497661798
"135" "ParticipantTypePatient:SegID48" -0.000697283503056091 0.028135624202166 4680 -0.0247829405896889 0.980229154912724
"136" "ParticipantTypePatient:SegID49" 0.0321845165412962 0.030283531505215 4680 1.06277289806025 0.287939788218812
"137" "ParticipantTypePatient:SegID50" 0.0352962748426061 0.0302835315052149 4680 1.16552704021749 0.243865119718795
"138" "ParticipantTypePatient:SegID51" 0.0223723924206838 0.0302833396054013 4680 0.738768996821389 0.460084328189639
"139" "ParticipantTypePatient:SegID52" 0.0221130877032153 0.0291306389824043 4680 0.759100674604914 0.447830565963242
"140" "ParticipantTypePatient:SegID53" 0.0242396835416829 0.0291311448414321 4680 0.832088257211495 0.405401584911549
"141" "ParticipantTypePatient:SegID54" -0.109088552514122 0.0291326581161284 4680 -3.74454511082627 0.000182892349471694
"142" "ParticipantTypePatient:SegID55" -0.017955311094988 0.030284627390741 4680 -0.592885323082346 0.553286548004123
"143" "ParticipantTypePatient:SegID56" -0.0550205628730357 0.0291332812121855 4680 -1.88858105176366 0.0590097740431599
"144" "ParticipantTypePatient:SegID57" 0.0286599939155418 0.028135624202166 4680 1.01863721627813 0.30842788378627
"145" "ParticipantTypePatient:SegID58" -0.0413686950820501 0.0281356242021658 4680 -1.47033151938622 0.141539213181444
"146" "ParticipantTypePatient:SegID59" 0.0402778762135368 0.0291306389824041 4680 1.382663670298 0.166833986910999
"147" "ParticipantTypePatient:SegID60" -0.00057314701087681 0.0291306389824044 4680 -0.0196750579766893 0.984303426510358
"148" "ParticipantTypePatient:SegID61" 0.0748997031583912 0.0302814123930139 4680 2.4734547446562 0.0134166125824884
"149" "ParticipantTypePatient:SegID62" 0.0361675897863656 0.0291306389824044 4680 1.24156527456235 0.214459221677156
"150" "ParticipantTypePatient:SegID63" -0.0636847298073879 0.0281356242021659 4680 -2.26349091634816 0.0236510471364091
"151" "ParticipantTypePatient:SegID64" -0.0282299315645456 0.0302839537457604 4680 -0.932174570121898 0.351294401110989
"152" "ParticipantTypePatient:SegID65" 0.00649924548963195 0.0281356242021658 4680 0.230997025085786 0.817327210779437
"153" "ParticipantTypePatient:SegID66" 0.0138372807454082 0.0281356242021659 4680 0.491806424694249 0.622879260130663
"154" "ParticipantTypePatient:SegID67" -0.0233337057412116 0.0281356242021658 4680 -0.829329592034266 0.406960227205746
"155" "ParticipantTypePatient:SegID68" 0.0178208777353255 0.0281356242021659 4680 0.633391944933413 0.526508674514564
"156" "ParticipantTypePatient:SegID69" 0.00916499491719973 0.0291327255766562 4680 0.31459448904237 0.753083587831807
"157" "ParticipantTypePatient:SegID70" 0.0355387015599055 0.028135624202166 4680 1.2631211344218 0.206608574087085
"158" "ParticipantTypePatient:SegID71" 0.0532002906749365 0.0291323275149024 4680 1.82615998147495 0.0678898476030228
"159" "ParticipantTypePatient:SegID72" 0.0384349436111658 0.0302835315052151 4680 1.26916979958387 0.204443623363219
"160" "ParticipantTypePatient:SegID73" 0.0277139619064403 0.028135624202166 4680 0.985013224064413 0.324668495245462
"161" "ParticipantTypePatient:SegID74" 0.0534502089206487 0.0281356242021659 4680 1.89973424924172 0.0575294183806337
"162" "ParticipantTypePatient:SegID75" 0.010521369614098 0.0291311448414325 4680 0.361172541325383 0.717986770242189
"163" "ParticipantTypePatient:SegID76" 0.00591218324874854 0.0281356242021658 4680 0.210131582873979 0.833574123406869
"164" "ParticipantTypePatient:SegID77" 0.0202366578629927 0.0281356242021658 4680 0.719253915164068 0.472020397391236
"165" "ParticipantTypePatient:SegID78" -0.0524884694500672 0.0291326581161286 4680 -1.80170546885347 0.0716560897068582
"166" "ParticipantTypePatient:SegID79" 0.0366162294028046 0.0281356242021659 4680 1.30141876859394 0.1931792138366
"167" "ParticipantTypePatient:SegID80" 0.047483130663842 0.0291308143603622 4680 1.62999667899609 0.103169494464475
"168" "ParticipantTypePatient:SegID81" 0.00848186522447972 0.0291322406651632 4680 0.291150458420539 0.770949152743192
"169" "ParticipantTypePatient:SegID82" 0.000388470511418072 0.0291306389824042 4680 0.0133354613900753 0.989360725021763
"170" "ParticipantTypePatient:SegID83" -0.0468715302834668 0.0281356242021659 4680 -1.66591400093618 0.0957974691652107
"171" "ParticipantTypePatient:SegID84" -0.0230048321690834 0.0291306389824043 4680 -0.789712583475389 0.429735649307576
"172" "ParticipantTypePatient:SegID85" 0.0449008925428637 0.0281356242021659 4680 1.595873339089 0.110584593892761
