"ParticipantType" "SegID" "response" "SE" "df" "lower.CL" "upper.CL"
"102" "Patient" "154" 2.27672851966088 0.244391772001307 56 1.83621225017257 2.82292678950925
"103" "Control" "155" 1.4313696887859 0.0761193137044312 57 1.28677873788035 1.59220783314305
"104" "Patient" "155" 2.16451673997149 0.228569442118299 56 1.7518251105151 2.67442947900161
"105" "Control" "156" 0.913860379638367 0.0485985035625194 57 0.821546044409646 1.016547762789
"106" "Patient" "156" 1.38872283738341 0.146645721206812 56 1.12394768004121 1.71587268101263
"107" "Control" "157" 0.661763217375516 0.0351921396241018 57 0.594914678088788 0.736123299694139
"108" "Patient" "157" 0.739792828046176 0.0781192511114991 56 0.598744965677864 0.914067691256403
"109" "Control" "160" 1.00003651595173 0.0531812947207117 57 0.899017029571264 1.11240721848596
"110" "Patient" "160" 1.37897563365616 0.148022427590558 56 1.11216486670157 1.70979488307075
"111" "Control" "161" 1.04929635708437 0.0558009011924586 57 0.943300848557684 1.16720222045174
"112" "Patient" "161" 1.32853697902371 0.140287496360538 56 1.07524136420841 1.64150167895823
"113" "Control" "162" 1.43552495860042 0.0763402882639856 57 1.29051425979994 1.59683001649607
"114" "Patient" "162" 2.20377263838146 0.229455317815852 56 1.78888882236767 2.71487740375663
"115" "Control" "163" 1.47977958668357 0.0786937207450033 57 1.33029847132568 1.64605738664289
"116" "Patient" "163" 1.9334118760817 0.201305537952904 56 1.56942637090532 2.38181386006498
"117" "Control" "166" 1.28549470901189 0.068361776686539 57 1.1556394355516 1.42994137796
"118" "Patient" "166" 2.0269555020731 0.214043199459647 56 1.64049160759789 2.50446182617196
"119" "Control" "167" 1.1441753772086 0.0608465060794334 57 1.02859558877978 1.27274247341802
"120" "Patient" "167" 1.64216009891748 0.173409431651446 56 1.32906216137995 2.02901705340608
"121" "Control" "168" 1.15156873019787 0.061239679806617 57 1.03524209631922 1.28096659234057
"122" "Patient" "168" 1.96646224074736 0.211090399267925 56 1.58597239385921 2.43823521724453
"123" "Control" "169" 0.938788144312143 0.0499241459552704 57 0.84395571105021 1.04427657560884
"124" "Patient" "169" 1.46632834959027 0.154841885321944 56 1.18675488881007 1.81176319481439
"125" "Control" "170" 0.842992646202941 0.0448298033621755 57 0.757837071597858 0.937716863143021
"126" "Patient" "170" 1.04624910938144 0.108934750221776 56 0.84928150236005 1.28889796356047
"127" "Control" "171" 0.948894045955481 0.0504615712643868 57 0.853040756977644 1.05551804305332
"128" "Patient" "171" 1.27786164508486 0.137169990797415 56 1.03061267686501 1.58442683719566
"129" "Control" "176" 1.19219962947905 0.0634004047351301 57 1.07176863289855 1.32616304760295
"130" "Patient" "176" 1.73917896080547 0.181082138075436 56 1.41175988343648 2.14253393455664
"131" "Control" "177" 1.13900536103683 0.0605715679653187 57 1.02394782591569 1.26699152011039
"132" "Patient" "177" 1.68989256022216 0.17595047135407 56 1.37175217594313 2.08181690189832
"133" "Control" "178" 1.16764518831949 0.0620946154452599 57 1.04969457819961 1.29884950739109
"134" "Patient" "178" 1.59027866771798 0.165578740184829 56 1.29089166622007 1.95910029259399
"135" "Control" "179" 1.3484921711261 0.0717119409514554 57 1.21227315877774 1.50001765066036
"136" "Patient" "179" 2.01913497771735 0.210230969364201 56 1.63901118000219 2.48741808962899
"137" "Control" "182" 1.21116258446356 0.0644088424088751 57 1.08881602985869 1.34725680535291
"138" "Patient" "182" 1.77772052209814 0.187719980262015 56 1.43878348142031 2.19650162480957
"139" "Control" "183" 1.13663081501877 0.0604452911448223 57 1.0218131465578 1.26435015443125
"140" "Patient" "183" 1.77277726118218 0.18458037040519 56 1.43903294370943 2.18392444141236
"141" "Control" "190" 1.10529857241554 0.058779062760594 57 0.993645955434623 1.22949721427634
"142" "Patient" "190" 1.79546087070431 0.189593657224018 56 1.45314088826687 2.21842201555218
"143" "Control" "191" 1.06549634811487 0.0566624062312481 57 0.957864384571622 1.18522254938401
"144" "Patient" "191" 1.67294997273882 0.179579960290683 56 1.34925698839602 2.07429839930935
"145" "Control" "192" 0.907770483317371 0.048274646817391 57 0.81607132382338 1.00977356552795
"146" "Patient" "192" 1.39054825440525 0.144782944526969 56 1.12876264363431 1.71304787479831
"147" "Control" "193" 0.87816916711292 0.0467004679788396 57 0.789460208188069 0.976846050085003
"148" "Patient" "193" 1.42733014693569 0.148612650320321 56 1.15861995072093 1.75836032090057
"149" "Control" "194" 1.27606737150587 0.0678604369790966 57 1.14716440806386 1.4194547225974
"150" "Patient" "194" 1.87884528270248 0.198401447791452 56 1.52062293483173 2.32145623709403
"151" "Control" "195" 1.24097128920679 0.0659940500357026 57 1.1156135845141 1.38041501287949
"152" "Patient" "195" 1.80788150621595 0.18823540067493 56 1.46752843841922 2.22717015558372
"153" "Control" "196" 1.16752709015643 0.0620883350613782 57 1.0495884098167 1.29871813893905
"154" "Patient" "196" 1.75792227487513 0.183033679269784 56 1.42697456776888 2.16562424748321
"155" "Control" "197" 0.860879813532942 0.045781031344676 57 0.77391735245156 0.957613950638095
"156" "Patient" "197" 1.09635221884991 0.115770538783379 56 0.887323243427238 1.35462267745238
"157" "Control" "198" 1.14053343728911 0.0606528300714837 57 1.02532154232641 1.2686913010947
"158" "Patient" "198" 1.78328311112291 0.185674232401247 56 1.44756095481236 2.19686683579306
"159" "Control" "199" 0.922723357359382 0.0490698309818345 57 0.829513721366242 1.02640664317674
"160" "Patient" "199" 1.47928103668822 0.156208822980486 56 1.19723935745645 1.8277651598043
"161" "Control" "200" 1.31823804535384 0.0701030461225693 57 1.18507517765385 1.46636397165843
"162" "Patient" "200" 1.93184265836374 0.203995491838169 56 1.56351959062943 2.38693271196652
"163" "Control" "201" 1.23423405609681 0.0656357683390755 57 1.10955691838097 1.37292073979583
"164" "Patient" "201" 1.77534205615853 0.187473229405771 56 1.43685134713856 2.19357376296578
"165" "Control" "202" 0.899293383182728 0.0478238401183894 57 0.808450544720957 1.00034392247874
"166" "Patient" "202" 1.1601814377206 0.120797307253868 56 0.941764848927932 1.42925377812061
"167" "Control" "203" 0.88095766561003 0.0468487585242724 57 0.791967024285129 0.979947882675557
"168" "Patient" "203" 1.20073246128165 0.126795392126232 56 0.971798109868856 1.48359873201447
"169" "Control" "204" 1.52190871401015 0.0809341204713566 57 1.36817189124928 1.69292042074121
"170" "Patient" "204" 2.42541210772329 0.252532269581493 56 1.96880228639557 2.98792008366697
"171" "Control" "205" 1.45078842406894 0.0771519894794836 57 1.3042358741286 1.61380858567374
"172" "Patient" "205" 2.01386640211309 0.209682408832748 56 1.63473447021639 2.48092761206844
