"ParticipantType" "SegID" "response" "SE" "df" "lower.CL" "upper.CL"
"Control" "177" 248.38879554348 13.3699333626668 57 223.008360663486 276.657761027355
"Patient" "177" 310.373360323842 32.7092037567274 56 251.303447794228 383.32789957419
"Control" "178" 235.742928224577 12.689248861593 57 211.654651516557 262.572675864629
"Patient" "178" 296.19668722868 31.2151718965884 56 239.824863345651 365.818940961092
"Control" "179" 314.545784693897 16.9309415574221 57 282.40541061731 350.344033609088
"Patient" "179" 432.545901037 45.584556601102 56 350.224246521808 534.217600186229
"Control" "182" 256.83548243463 13.8245901060312 57 230.591962784151 286.065759799166
"Patient" "182" 306.000426420038 32.6285292465363 56 247.146895100581 378.868854213759
"Control" "183" 246.393088050638 13.2625111412567 57 221.216575106618 274.434923377101
"Patient" "183" 316.038214361211 33.3062036563548 56 255.890173115488 390.32430093181
"Control" "190" 212.23555195957 11.423925868635 57 190.54926537026 236.389940565017
"Patient" "190" 253.613806308433 27.0426386837996 56 204.835802745447 314.007423937421
"Control" "191" 224.651448190422 12.0922317995893 57 201.696501937642 250.218881781387
"Patient" "191" 293.091769842626 31.6841109915754 56 236.023023698174 363.95934686158
"Control" "192" 317.226324226688 17.0752259839841 57 284.812051889488 353.329643583422
"Patient" "192" 363.953653423316 38.3558505002082 56 294.68639913926 449.502461691766
"Control" "193" 309.126527355491 16.6392411635655 57 277.539894471917 344.308014156625
"Patient" "193" 375.435597021757 39.5658938888959 56 303.98311201003 463.68328351883
"Control" "194" 303.419042586445 16.3320264566235 57 272.415602053365 337.950964299175
"Patient" "194" 350.986186976485 37.4258078169169 56 283.47968177768 434.568370740959
"Control" "195" 304.672467449518 16.3994941008774 57 273.540951622041 339.34704062168
"Patient" "195" 401.425035568401 42.3048333392989 56 325.026269535512 495.781646853887
"Control" "196" 280.083852579305 15.0759716707463 57 251.46480812614 311.96001166221
"Patient" "196" 357.028485946624 37.6260304093079 56 289.079221829875 440.949505019614
"Control" "197" 325.819050200215 17.5377435199234 57 292.526770779259 362.900302049542
"Patient" "197" 435.667986610869 46.4549398194567 56 351.875158414339 539.414590711366
"Control" "198" 258.319552588171 13.9044726104531 57 231.924390244603 287.718731000978
"Patient" "198" 302.556461529839 31.8854071037799 56 244.974252479456 373.673606458431
"Control" "199" 287.395082911454 15.4695106068568 57 258.028974948714 320.1033283107
"Patient" "199" 368.42554933926 39.2854541082912 56 297.56473662109 456.160857456639
"Control" "200" 346.932901892985 18.6742311362184 57 311.483203346976 386.417107319298
"Patient" "200" 430.161228563557 45.8678347575551 56 347.427401888824 532.596685101196
"Control" "201" 334.779497881088 18.0200542784696 57 300.571637472018 372.880532388712
"Patient" "201" 438.697462149597 46.7788052272903 56 354.32061869904 543.167552605705
"Control" "202" 215.643642157699 11.6073719002616 57 193.609115982342 240.185903267484
"Patient" "202" 241.433721523748 25.4438872679839 56 195.484324329264 298.183714161272
"Control" "203" 214.510807218186 11.5463952059665 57 192.592034425944 238.924141128441
"Patient" "203" 244.81177714042 26.1045559372152 56 197.725922361561 303.11051535801
"Control" "204" 308.618454324268 16.6118933012918 57 277.083736481609 343.74211766782
"Patient" "204" 390.069293889519 41.1080899461296 56 315.831739975417 481.756691228408
"Control" "205" 251.304828676703 13.5268936176139 57 225.626432735769 279.905665973928
"Patient" "205" 319.055664059124 33.6242025235633 56 258.333345144943 394.051014634187
