"Variables" "Value" "Std.Error" "DF" "t.value" "p.value"
"ParticipantTypePatient:SegID1" -0.0301483677691995 0.0279332025794174 4680 -1.07930222764411 0.28050864083718
"ParticipantTypePatient:SegID2" 0.0217917890016027 0.0259493311629731 4680 0.839782299772614 0.401073356314558
"ParticipantTypePatient:SegID3" -0.000720910441786497 0.0259493311629729 4680 -0.0277814652431259 0.977837633378103
"ParticipantTypePatient:SegID4" -0.00952841009414196 0.0347461184945857 4680 -0.274229482514046 0.78392037556099
"ParticipantTypePatient:SegID5" -0.0166056552566655 0.0291796363507589 4680 -0.569083694431772 0.569326652675032
"ParticipantTypePatient:SegID6" -0.00421888648635969 0.027931021696481 4680 -0.151046622361517 0.879945448377359
"ParticipantTypePatient:SegID7" -0.0119713221675045 0.0279315400370656 4680 -0.428595134805256 0.668237611821977
"ParticipantTypePatient:SegID8" 0.0262101740773658 0.0324710485797507 4680 0.807185946366721 0.419600381434408
"ParticipantTypePatient:SegID9" 0.0226979904936582 0.0324763727325105 4680 0.698907808473831 0.484644377481489
"ParticipantTypePatient:SegID10" -0.00507169425259992 0.0259493311629735 4680 -0.195446049100356 0.845052254348289
"ParticipantTypePatient:SegID11" 0.0331185994873987 0.0268691751322341 4680 1.23258713095615 0.217791755716355
"ParticipantTypePatient:SegID12" 0.0432039594899904 0.025949331162973 4680 1.66493537805082 0.0959925856068351
"ParticipantTypePatient:SegID13" 0.0634444503941765 0.0259493311629726 4680 2.44493586349949 0.0145244146199201
"ParticipantTypePatient:SegID14" -0.0111873950837955 0.0259493311629733 4680 -0.431124602539222 0.666397628993028
"ParticipantTypePatient:SegID15" 0.00927603354763704 0.0259493311629721 4680 0.357467153560909 0.720758230537505
"ParticipantTypePatient:SegID16" -0.00475643663351876 0.0259493311629721 4680 -0.183297080130754 0.854572865548618
"ParticipantTypePatient:SegID17" 0.0194196322804428 0.0259493311629736 4680 0.748367353226899 0.454276214593844
"ParticipantTypePatient:SegID18" 0.00934484356835985 0.0268685200824448 4680 0.347798968446555 0.728006805775206
"ParticipantTypePatient:SegID19" -0.0293972316248623 0.025949331162973 4680 -1.13287049443529 0.257326676629464
"ParticipantTypePatient:SegID20" 0.00981238037615523 0.0268672039336012 4680 0.365217772582709 0.714965356548682
"ParticipantTypePatient:SegID21" 0.0197660434540634 0.0268685200824464 4680 0.735658063540942 0.461975683443372
"ParticipantTypePatient:SegID22" 0.0517347767288066 0.0259493311629724 4680 1.99368439995201 0.0462444974665958
"ParticipantTypePatient:SegID23" -0.0183103121788611 0.0259493311629724 4680 -0.705617885249716 0.480460918453729
"ParticipantTypePatient:SegID24" 0.0208089065467952 0.0259493311629721 4680 0.801905313709515 0.42264844692796
"ParticipantTypePatient:SegID25" 0.0245726837075322 0.0279287544450642 4680 0.879834571780374 0.378994108233871
"ParticipantTypePatient:SegID26" 0.039428409625932 0.0268689054369018 4680 1.46743639105525 0.142324578086549
"ParticipantTypePatient:SegID27" 0.0226073622107849 0.0268685200824457 4680 0.841407049640787 0.400162927392766
"ParticipantTypePatient:SegID28" 0.0260454597856724 0.0259493311629731 4680 1.00370447400342 0.315572971476996
"ParticipantTypePatient:SegID29" 0.00138395597202714 0.0268672039336018 4680 0.051510978792113 0.958920552006711
"ParticipantTypePatient:SegID30" 0.00772645199673609 0.02793038844644 4680 0.276632457566873 0.782074555466995
"ParticipantTypePatient:SegID31" -0.088708418154721 0.025949331162973 4680 -3.41852426166955 0.000634991157401255
"ParticipantTypePatient:SegID32" 0.00631069715160286 0.0268672039336011 4680 0.234884775029026 0.814308442689098
"ParticipantTypePatient:SegID33" 0.0482302576474446 0.026869264130362 4680 1.79499734021167 0.0727186258185631
