"ParticipantType" "SegID" "response" "SE" "df" "lower.CL" "upper.CL"
"160" "Patient" "199" 0.42690750793247 0.0575621961319469 56 0.32585739418026 0.55929380024531
"161" "Control" "200" 0.339147450650911 0.023022666102272 57 0.296041521556713 0.388529935524526
"162" "Patient" "200" 0.482308206734616 0.0650312411393734 56 0.368146016961393 0.631872125640722
"163" "Control" "201" 0.362197769189797 0.0245874126048722 57 0.316162125027333 0.414936558244363
"164" "Patient" "201" 0.494989661771885 0.0667424409934386 56 0.377823762806453 0.648489558838463
"165" "Control" "202" 0.225164317404652 0.0152850416177509 57 0.196545741378323 0.257949978853595
"166" "Patient" "202" 0.263413575386863 0.0350101123227794 56 0.201840143939996 0.343770621362212
"167" "Control" "203" 0.241578590898906 0.016399307218876 57 0.210873746767015 0.276754297182289
"168" "Patient" "203" 0.275246883570055 0.0371131971111114 56 0.210094919717967 0.360602945643471
"169" "Control" "204" 0.428931786395942 0.0291175808041365 57 0.374414191953922 0.491387563117415
"170" "Patient" "204" 0.570077556765499 0.0757686055691839 56 0.436820828028774 0.7439856340969
"171" "Control" "205" 0.500552927334374 0.0339795062307457 57 0.436932225034659 0.573437294635653
"172" "Patient" "205" 0.605696840700452 0.0805027394481545 56 0.464114035624138 0.790470950401546
