"Variables" "Value" "Std.Error" "DF" "t.value" "p.value"
"117" "ParticipantTypePatient:SegID29" 0.0235009609210624 0.0168092454011375 4680 1.39809731848356 0.16215009817728
"118" "ParticipantTypePatient:SegID30" 0.0100810391414922 0.0174742149526581 4680 0.576909415891029 0.564028397245814
"119" "ParticipantTypePatient:SegID31" -0.0274116800283131 0.0162351592982018 4680 -1.68841460221146 0.0913982920377287
"120" "ParticipantTypePatient:SegID32" 0.0134189729791451 0.0168092454011374 4680 0.798309064976654 0.424731665444462
"121" "ParticipantTypePatient:SegID33" -0.0239307857132493 0.0168105351084777 4680 -1.42355883134147 0.154640882382429
"122" "ParticipantTypePatient:SegID34" -0.020597899867854 0.0174744421106908 4680 -1.17874434773813 0.238559916340019
"123" "ParticipantTypePatient:SegID35" 0.0314516624182182 0.0168094329415658 4680 1.87107218474013 0.0613974256275929
"124" "ParticipantTypePatient:SegID36" 0.0169302836717665 0.0174758607726633 4680 0.968781102802661 0.332704479335628
"125" "ParticipantTypePatient:SegID37" -0.00332705521134418 0.0168092454011375 4680 -0.197930075499942 0.843108369202089
"126" "ParticipantTypePatient:SegID38" 0.0240202514034269 0.0174745204815952 4680 1.37458715555176 0.169325285251759
"127" "ParticipantTypePatient:SegID39" 0.00961536291790336 0.0174732089980262 4680 0.550291759171972 0.582145538352836
"128" "ParticipantTypePatient:SegID40" 0.0164514916074793 0.0168106539872312 4680 0.978634835978142 0.327811024667047
"129" "ParticipantTypePatient:SegID41" 0.0189400600998144 0.0162351592982018 4680 1.16660759232047 0.243428317875591
"130" "ParticipantTypePatient:SegID42" 0.000732298194600927 0.0162351592982018 4680 0.0451056981425515 0.964024983984102
"131" "ParticipantTypePatient:SegID43" -0.0221184804452735 0.0168103501957797 4680 -1.3157655960568 0.188317178640403
"132" "ParticipantTypePatient:SegID44" -0.0216726586378899 0.0162351592982017 4680 -1.33492121880753 0.181967065283099
"133" "ParticipantTypePatient:SegID45" -0.0127124913281031 0.0162351592982017 4680 -0.783022272501581 0.433653653429163
"134" "ParticipantTypePatient:SegID46" -0.0112974768855209 0.0162351592982017 4680 -0.695864862057265 0.486548018007395
"135" "ParticipantTypePatient:SegID47" -0.0125559501218389 0.0168094329415658 4680 -0.746958577691872 0.455126088846707
"136" "ParticipantTypePatient:SegID48" 0.000243267516605975 0.0162351592982017 4680 0.0149839932049771 0.988045589225254
"137" "ParticipantTypePatient:SegID49" -0.0296934821627768 0.017474203850387 4680 -1.69927525265302 0.0893337913150665
"138" "ParticipantTypePatient:SegID50" -0.0422411215126427 0.017474203850387 4680 -2.41734169260634 0.0156723108079038
"139" "ParticipantTypePatient:SegID51" -0.0111471558384984 0.0174740949221522 4680 -0.637924647208307 0.523553942883881
"140" "ParticipantTypePatient:SegID52" 0.00190561826498398 0.0168091424080924 4680 0.113367964808637 0.909743698917949
"141" "ParticipantTypePatient:SegID53" 0.0106449183501087 0.0168094329415656 4680 0.633270520612651 0.526587944371306
"142" "ParticipantTypePatient:SegID54" -0.0371221157909118 0.0168102966762667 4680 -2.20829629041122 0.0272719297142661
"143" "ParticipantTypePatient:SegID55" 0.0227613393839694 0.0174748331289089 4680 1.30252112944729 0.192802391369184
"144" "ParticipantTypePatient:SegID56" 0.0159660247868041 0.0168106539872312 4680 0.94975631518746 0.342285129613812
"145" "ParticipantTypePatient:SegID57" 0.0104700617261931 0.0162351592982017 4680 0.644900461639005 0.51902330303271
"146" "ParticipantTypePatient:SegID58" -0.0338553439287984 0.0162351592982017 4680 -2.08531023976761 0.0370952033404582
"147" "ParticipantTypePatient:SegID59" -0.00488527676569419 0.0168091424080923 4680 -0.290632124298162 0.771345566199049
"148" "ParticipantTypePatient:SegID60" -0.0176915396321533 0.0168091424080924 4680 -1.05249507694314 0.292626806159841
